instance001.gr: cost: 503.00, avg_time: 12.77 ms, avg-memory: 3440.39 KB, runs: 1000
instance002.gr: cost: 125.00, avg_time: 13.49 ms, avg-memory: 4972.11 KB, runs: 1000
instance003.gr: cost: 86.00, avg_time: 14.39 ms, avg-memory: 5008.61 KB, runs: 1000
instance004.gr: cost: 39.00, avg_time: 19.49 ms, avg-memory: 5057.09 KB, runs: 1000
instance005.gr: cost: 15.00, avg_time: 31.80 ms, avg-memory: 5794.75 KB, runs: 1000
instance006.gr: cost: 557.00, avg_time: 12.39 ms, avg-memory: 3439.32 KB, runs: 1000
instance007.gr: cost: 1267.00, avg_time: 12.56 ms, avg-memory: 3429.73 KB, runs: 1000
instance008.gr: cost: 2007.00, avg_time: 12.65 ms, avg-memory: 3560.98 KB, runs: 1000
instance009.gr: cost: 932.00, avg_time: 11.98 ms, avg-memory: 3435.96 KB, runs: 1000
instance010.gr: cost: 2539.00, avg_time: 12.12 ms, avg-memory: 3434.56 KB, runs: 1000
instance011.gr: cost: 25.00, avg_time: 11.94 ms, avg-memory: 3433.66 KB, runs: 1000
instance012.gr: cost: 1808.00, avg_time: 12.03 ms, avg-memory: 3433.20 KB, runs: 1000
instance013.gr: cost: 5175.00, avg_time: 12.73 ms, avg-memory: 3818.95 KB, runs: 1000
instance014.gr: cost: 4089.00, avg_time: 12.46 ms, avg-memory: 3813.86 KB, runs: 1000
instance015.gr: cost: 4015.00, avg_time: 12.60 ms, avg-memory: 3822.56 KB, runs: 1000
instance016.gr: cost: 4579.00, avg_time: 12.50 ms, avg-memory: 3814.73 KB, runs: 1000
instance017.gr: cost: 5270.00, avg_time: 12.89 ms, avg-memory: 3817.13 KB, runs: 1000
instance018.gr: cost: 3175.00, avg_time: 13.36 ms, avg-memory: 3823.10 KB, runs: 1000
instance019.gr: cost: 3064.00, avg_time: 13.46 ms, avg-memory: 3819.74 KB, runs: 1000
instance020.gr: cost: 3065.00, avg_time: 13.45 ms, avg-memory: 3819.37 KB, runs: 1000
instance021.gr: cost: 2667.00, avg_time: 13.47 ms, avg-memory: 3815.23 KB, runs: 1000
instance022.gr: cost: 2954.00, avg_time: 13.36 ms, avg-memory: 3815.22 KB, runs: 1000
instance023.gr: cost: 2350.00, avg_time: 96.75 ms, avg-memory: 8614.89 KB, runs: 515
instance024.gr: cost: 2349.00, avg_time: 91.27 ms, avg-memory: 8609.61 KB, runs: 524
instance025.gr: cost: 2348.00, avg_time: 93.37 ms, avg-memory: 8612.69 KB, runs: 536
instance026.gr: cost: 2344.00, avg_time: 92.95 ms, avg-memory: 8601.08 KB, runs: 538
instance027.gr: cost: 196.00, avg_time: 11.84 ms, avg-memory: 3434.52 KB, runs: 1000
instance028.gr: cost: 297.00, avg_time: 11.87 ms, avg-memory: 3438.46 KB, runs: 1000
instance029.gr: cost: 250.00, avg_time: 11.88 ms, avg-memory: 3513.92 KB, runs: 1000
instance030.gr: cost: 379.00, avg_time: 12.05 ms, avg-memory: 3565.16 KB, runs: 1000
instance031.gr: cost: 321.00, avg_time: 12.25 ms, avg-memory: 3567.03 KB, runs: 1000
instance032.gr: cost: 2308.00, avg_time: 12.06 ms, avg-memory: 3564.76 KB, runs: 1000
instance033.gr: cost: 337.00, avg_time: 11.99 ms, avg-memory: 3562.54 KB, runs: 1000
instance034.gr: cost: 483.00, avg_time: 12.66 ms, avg-memory: 3692.36 KB, runs: 1000
instance035.gr: cost: 628.00, avg_time: 13.33 ms, avg-memory: 3811.48 KB, runs: 1000
instance036.gr: cost: 639.00, avg_time: 13.36 ms, avg-memory: 3815.30 KB, runs: 1000
instance037.gr: cost: 576.00, avg_time: 13.26 ms, avg-memory: 3881.62 KB, runs: 1000
instance038.gr: cost: 4335.00, avg_time: 13.06 ms, avg-memory: 3947.80 KB, runs: 1000
instance039.gr: cost: 648.00, avg_time: 12.78 ms, avg-memory: 3947.03 KB, runs: 1000
instance040.gr: cost: 632.00, avg_time: 13.00 ms, avg-memory: 3952.68 KB, runs: 1000
instance041.gr: cost: 627.00, avg_time: 13.19 ms, avg-memory: 3950.07 KB, runs: 1000
instance042.gr: cost: 658.00, avg_time: 13.56 ms, avg-memory: 3946.62 KB, runs: 1000
instance043.gr: cost: 649.00, avg_time: 13.42 ms, avg-memory: 3948.39 KB, runs: 1000
instance044.gr: cost: 561.00, avg_time: 13.55 ms, avg-memory: 4075.84 KB, runs: 1000
instance045.gr: cost: 862.00, avg_time: 13.51 ms, avg-memory: 4204.65 KB, runs: 1000
instance046.gr: cost: 244.00, avg_time: 15.33 ms, avg-memory: 4974.42 KB, runs: 1000
instance047.gr: cost: 165.00, avg_time: 16.53 ms, avg-memory: 5004.86 KB, runs: 1000
instance048.gr: cost: 1669.00, avg_time: 15.35 ms, avg-memory: 5357.16 KB, runs: 1000
instance049.gr: cost: 1721.00, avg_time: 16.27 ms, avg-memory: 5482.68 KB, runs: 1000
instance050.gr: cost: 2191.00, avg_time: 20.80 ms, avg-memory: 6836.62 KB, runs: 1000
instance051.gr: cost: 71.00, avg_time: 22.46 ms, avg-memory: 5058.28 KB, runs: 1000
instance052.gr: cost: 27.00, avg_time: 42.35 ms, avg-memory: 5864.60 KB, runs: 1000
instance053.gr: cost: 1900323.00, avg_time: 12.24 ms, avg-memory: 3434.69 KB, runs: 1000
instance054.gr: cost: 1900141.00, avg_time: 11.92 ms, avg-memory: 3435.26 KB, runs: 1000
instance055.gr: cost: 333.00, avg_time: 12.17 ms, avg-memory: 3534.87 KB, runs: 1000
instance056.gr: cost: 320.00, avg_time: 12.24 ms, avg-memory: 3562.55 KB, runs: 1000
instance057.gr: cost: 378.00, avg_time: 12.03 ms, avg-memory: 3564.46 KB, runs: 1000
instance058.gr: cost: 408.00, avg_time: 11.95 ms, avg-memory: 3564.11 KB, runs: 1000
instance059.gr: cost: 574.00, avg_time: 12.11 ms, avg-memory: 3567.18 KB, runs: 1000
instance060.gr: cost: 509.00, avg_time: 12.27 ms, avg-memory: 3563.93 KB, runs: 1000
instance061.gr: cost: 350.00, avg_time: 12.27 ms, avg-memory: 3565.19 KB, runs: 1000
instance062.gr: cost: 530.00, avg_time: 12.15 ms, avg-memory: 3674.46 KB, runs: 1000
instance063.gr: cost: 644.00, avg_time: 12.51 ms, avg-memory: 3719.60 KB, runs: 1000
instance064.gr: cost: 511.00, avg_time: 12.35 ms, avg-memory: 3820.25 KB, runs: 1000
instance065.gr: cost: 523.00, avg_time: 12.62 ms, avg-memory: 3819.96 KB, runs: 1000
instance066.gr: cost: 698.00, avg_time: 13.03 ms, avg-memory: 3944.44 KB, runs: 1000
instance067.gr: cost: 7199.00, avg_time: 17.84 ms, avg-memory: 5894.65 KB, runs: 1000
instance068.gr: cost: 1900155.00, avg_time: 11.84 ms, avg-memory: 3431.40 KB, runs: 1000
instance069.gr: cost: 4773.00, avg_time: 11.88 ms, avg-memory: 3436.38 KB, runs: 1000
instance070.gr: cost: 43.00, avg_time: 11.84 ms, avg-memory: 3435.31 KB, runs: 1000
instance071.gr: cost: 387.00, avg_time: 12.20 ms, avg-memory: 3569.81 KB, runs: 1000
instance072.gr: cost: 2785.00, avg_time: 12.30 ms, avg-memory: 3564.69 KB, runs: 1000
instance073.gr: cost: 418.00, avg_time: 12.34 ms, avg-memory: 3677.80 KB, runs: 1000
instance074.gr: cost: 476.00, avg_time: 12.56 ms, avg-memory: 3687.94 KB, runs: 1000
instance075.gr: cost: 5356.00, avg_time: 13.04 ms, avg-memory: 3947.29 KB, runs: 1000
instance076.gr: cost: 882.00, avg_time: 14.26 ms, avg-memory: 4467.02 KB, runs: 1000
instance077.gr: cost: 6806.00, avg_time: 14.68 ms, avg-memory: 4717.34 KB, runs: 1000
instance078.gr: cost: 1321.00, avg_time: 16.52 ms, avg-memory: 5356.49 KB, runs: 1000
instance079.gr: cost: 1494.00, avg_time: 18.72 ms, avg-memory: 6186.72 KB, runs: 1000
instance080.gr: cost: 1644.00, avg_time: 20.05 ms, avg-memory: 6208.02 KB, runs: 1000
instance081.gr: cost: 2400753.00, avg_time: 12.22 ms, avg-memory: 3435.30 KB, runs: 1000
instance082.gr: cost: 381.00, avg_time: 12.58 ms, avg-memory: 3567.92 KB, runs: 1000
instance083.gr: cost: 497.00, avg_time: 12.85 ms, avg-memory: 3565.64 KB, runs: 1000
instance084.gr: cost: 2300443.00, avg_time: 12.18 ms, avg-memory: 3565.83 KB, runs: 1000
instance085.gr: cost: 22.00, avg_time: 12.22 ms, avg-memory: 3441.17 KB, runs: 1000
instance086.gr: cost: 4562.00, avg_time: 12.31 ms, avg-memory: 3434.98 KB, runs: 1000
instance087.gr: cost: 43.00, avg_time: 12.21 ms, avg-memory: 3439.20 KB, runs: 1000
instance088.gr: cost: 685.00, avg_time: 13.13 ms, avg-memory: 3927.27 KB, runs: 1000
instance089.gr: cost: 563.00, avg_time: 13.24 ms, avg-memory: 3950.60 KB, runs: 1000
instance090.gr: cost: 939.00, avg_time: 13.12 ms, avg-memory: 4078.19 KB, runs: 1000
instance091.gr: cost: 763.00, avg_time: 13.98 ms, avg-memory: 4297.41 KB, runs: 1000
instance092.gr: cost: 2600074.00, avg_time: 12.99 ms, avg-memory: 3440.52 KB, runs: 1000
instance093.gr: cost: 1384.00, avg_time: 12.38 ms, avg-memory: 3436.35 KB, runs: 1000
instance094.gr: cost: 2200221.00, avg_time: 12.32 ms, avg-memory: 3434.00 KB, runs: 1000
instance095.gr: cost: 414.00, avg_time: 12.42 ms, avg-memory: 3695.94 KB, runs: 1000
instance096.gr: cost: 397.00, avg_time: 12.54 ms, avg-memory: 3695.82 KB, runs: 1000
instance097.gr: cost: 811.00, avg_time: 13.54 ms, avg-memory: 4202.18 KB, runs: 1000
instance098.gr: cost: 2700290.00, avg_time: 12.13 ms, avg-memory: 3436.25 KB, runs: 1000
instance099.gr: cost: 2600364.00, avg_time: 12.48 ms, avg-memory: 3563.72 KB, runs: 1000
instance100.gr: cost: 2400198.00, avg_time: 12.79 ms, avg-memory: 3563.79 KB, runs: 1000
