instance001.gr: cost: 1206.00, avg_time: 4.01 ms, avg-memory: 3047.35 KB, runs: 1000
instance002.gr: cost: 658.00, avg_time: 4.29 ms, avg-memory: 3167.87 KB, runs: 1000
instance003.gr: cost: 43470.00, avg_time: 4.08 ms, avg-memory: 3043.96 KB, runs: 1000
instance004.gr: cost: 57060.00, avg_time: 4.26 ms, avg-memory: 3044.92 KB, runs: 1000
instance005.gr: cost: 780067304.00, avg_time: 4.35 ms, avg-memory: 3174.04 KB, runs: 1000
instance006.gr: cost: 131005.00, avg_time: 4.32 ms, avg-memory: 3172.69 KB, runs: 1000
instance007.gr: cost: 21127.00, avg_time: 4.16 ms, avg-memory: 3171.10 KB, runs: 1000
instance008.gr: cost: 22817.00, avg_time: 4.34 ms, avg-memory: 3170.12 KB, runs: 1000
instance009.gr: cost: 79981503.00, avg_time: 4.37 ms, avg-memory: 3173.43 KB, runs: 1000
instance010.gr: cost: 22048.00, avg_time: 4.28 ms, avg-memory: 3168.72 KB, runs: 1000
instance011.gr: cost: 21483.00, avg_time: 4.39 ms, avg-memory: 3174.53 KB, runs: 1000
instance012.gr: cost: 98325.00, avg_time: 4.92 ms, avg-memory: 3302.81 KB, runs: 1000
instance013.gr: cost: 593325.00, avg_time: 6.14 ms, avg-memory: 3938.73 KB, runs: 1000
instance014.gr: cost: 363083.00, avg_time: 7.57 ms, avg-memory: 4686.64 KB, runs: 1000
instance015.gr: cost: 1411.00, avg_time: 4.24 ms, avg-memory: 3087.52 KB, runs: 1000
instance016.gr: cost: 100084.00, avg_time: 4.27 ms, avg-memory: 3170.47 KB, runs: 1000
instance017.gr: cost: 74509757.00, avg_time: 4.33 ms, avg-memory: 3167.88 KB, runs: 1000
instance018.gr: cost: 55650.00, avg_time: 4.34 ms, avg-memory: 3171.54 KB, runs: 1000
instance019.gr: cost: 72445659.00, avg_time: 4.37 ms, avg-memory: 3173.14 KB, runs: 1000
instance020.gr: cost: 78386515.00, avg_time: 4.37 ms, avg-memory: 3175.39 KB, runs: 1000
instance021.gr: cost: 80760.00, avg_time: 4.49 ms, avg-memory: 3173.74 KB, runs: 1000
instance022.gr: cost: 11278626.00, avg_time: 5.24 ms, avg-memory: 3428.82 KB, runs: 1000
