instance001.gr: cost: 1169.00, avg_time: 4.26 ms, avg-memory: 3040.54 KB, runs: 1000
instance002.gr: cost: 648.00, avg_time: 4.67 ms, avg-memory: 3174.07 KB, runs: 1000
instance003.gr: cost: 44300.00, avg_time: 4.44 ms, avg-memory: 3044.30 KB, runs: 1000
instance004.gr: cost: 59540.00, avg_time: 4.73 ms, avg-memory: 3047.90 KB, runs: 1000
instance005.gr: cost: 779736992.00, avg_time: 5.37 ms, avg-memory: 3172.47 KB, runs: 1000
instance006.gr: cost: 130052.00, avg_time: 5.93 ms, avg-memory: 3171.32 KB, runs: 1000
instance007.gr: cost: 21092.00, avg_time: 5.72 ms, avg-memory: 3175.10 KB, runs: 1000
instance008.gr: cost: 21837.00, avg_time: 5.70 ms, avg-memory: 3173.92 KB, runs: 1000
instance009.gr: cost: 78431061.00, avg_time: 5.85 ms, avg-memory: 3170.26 KB, runs: 1000
instance010.gr: cost: 21770.00, avg_time: 5.89 ms, avg-memory: 3172.55 KB, runs: 1000
instance011.gr: cost: 21151.00, avg_time: 6.03 ms, avg-memory: 3175.02 KB, runs: 1000
instance012.gr: cost: 98400.00, avg_time: 12.29 ms, avg-memory: 3299.81 KB, runs: 1000
instance013.gr: cost: 593142.00, avg_time: 121.39 ms, avg-memory: 3933.54 KB, runs: 400
instance014.gr: cost: 362241.00, avg_time: 389.57 ms, avg-memory: 4711.66 KB, runs: 129
instance015.gr: cost: 1420.00, avg_time: 4.55 ms, avg-memory: 3081.46 KB, runs: 1000
instance016.gr: cost: 97493.00, avg_time: 5.33 ms, avg-memory: 3169.22 KB, runs: 1000
instance017.gr: cost: 75295067.00, avg_time: 5.68 ms, avg-memory: 3175.72 KB, runs: 1000
instance018.gr: cost: 52925.00, avg_time: 6.15 ms, avg-memory: 3170.23 KB, runs: 1000
instance019.gr: cost: 73777593.00, avg_time: 6.02 ms, avg-memory: 3167.54 KB, runs: 1000
instance020.gr: cost: 77482519.00, avg_time: 6.27 ms, avg-memory: 3172.06 KB, runs: 1000
instance021.gr: cost: 82780.00, avg_time: 6.92 ms, avg-memory: 3174.68 KB, runs: 1000
instance022.gr: cost: 11136821.00, avg_time: 18.07 ms, avg-memory: 3426.76 KB, runs: 1000
