instance001.gr: cost: 1184.00, avg_time: 19.51 ms, avg-memory: 3422.41 KB, runs: 1000
instance002.gr: cost: 662.00, avg_time: 18.62 ms, avg-memory: 3540.69 KB, runs: 1000
instance003.gr: cost: 45140.00, avg_time: 19.61 ms, avg-memory: 3426.36 KB, runs: 1000
instance004.gr: cost: 59540.00, avg_time: 19.19 ms, avg-memory: 3418.06 KB, runs: 1000
instance005.gr: cost: 782102777.00, avg_time: 19.03 ms, avg-memory: 3669.42 KB, runs: 1000
instance006.gr: cost: 130306.00, avg_time: 18.49 ms, avg-memory: 3841.05 KB, runs: 1000
instance007.gr: cost: 21577.00, avg_time: 18.58 ms, avg-memory: 3676.63 KB, runs: 1000
instance008.gr: cost: 22457.00, avg_time: 18.56 ms, avg-memory: 3675.31 KB, runs: 1000
instance009.gr: cost: 79618722.00, avg_time: 18.50 ms, avg-memory: 3677.45 KB, runs: 1000
instance010.gr: cost: 22160.00, avg_time: 18.62 ms, avg-memory: 3680.30 KB, runs: 1000
instance011.gr: cost: 21924.00, avg_time: 18.59 ms, avg-memory: 3673.13 KB, runs: 1000
instance012.gr: cost: 98850.00, avg_time: 25.14 ms, avg-memory: 7545.57 KB, runs: 1000
instance013.gr: cost: 590856.00, avg_time: 139.11 ms, avg-memory: 67341.88 KB, runs: 330
instance014.gr: cost: 365555.00, avg_time: 290.95 ms, avg-memory: 127308.46 KB, runs: 166
instance015.gr: cost: 1447.00, avg_time: 19.14 ms, avg-memory: 3419.95 KB, runs: 1000
instance016.gr: cost: 100630.00, avg_time: 18.49 ms, avg-memory: 3542.27 KB, runs: 1000
instance017.gr: cost: 75886977.00, avg_time: 19.40 ms, avg-memory: 3676.87 KB, runs: 1000
instance018.gr: cost: 54700.00, avg_time: 18.52 ms, avg-memory: 3779.12 KB, runs: 1000
instance019.gr: cost: 73653430.00, avg_time: 18.59 ms, avg-memory: 3677.54 KB, runs: 1000
instance020.gr: cost: 79252338.00, avg_time: 18.61 ms, avg-memory: 3676.29 KB, runs: 1000
instance021.gr: cost: 83500.00, avg_time: 18.53 ms, avg-memory: 3679.11 KB, runs: 1000
instance022.gr: cost: 11225402.00, avg_time: 23.45 ms, avg-memory: 7233.23 KB, runs: 1000
instance023.gr: cost: 3615446.00, avg_time: 34.98 ms, avg-memory: 10519.86 KB, runs: 1000
instance024.gr: cost: 256637.00, avg_time: 105.06 ms, avg-memory: 40140.29 KB, runs: 467
instance025.gr: cost: 22738525.00, avg_time: 3008.21 ms, avg-memory: 1170690.75 KB, runs: 16
instance026.gr: cost: 8872125.00, avg_time: 8812.44 ms, avg-memory: 2844738.40 KB, runs: 5
instance027.gr: cost: 10.00, avg_time: 19.00 ms, avg-memory: 3424.42 KB, runs: 1000
instance028.gr: cost: 32066.00, avg_time: 18.86 ms, avg-memory: 3515.57 KB, runs: 1000
instance029.gr: cost: 20998.00, avg_time: 19.03 ms, avg-memory: 3671.17 KB, runs: 1000
instance030.gr: cost: 13979.00, avg_time: 18.67 ms, avg-memory: 3676.66 KB, runs: 1000
instance031.gr: cost: 1270.00, avg_time: 18.56 ms, avg-memory: 3680.50 KB, runs: 1000
instance032.gr: cost: 66223.00, avg_time: 18.77 ms, avg-memory: 3784.20 KB, runs: 1000
instance033.gr: cost: 30268.00, avg_time: 18.83 ms, avg-memory: 3950.93 KB, runs: 1000
