instance001.gr: cost: 39772.00, avg_time: 9.79 ms, avg-memory: 5963.56 KB, runs: 1000
instance002.gr: cost: 290525.00, avg_time: 12.57 ms, avg-memory: 6609.04 KB, runs: 1000
instance003.gr: cost: 290681.00, avg_time: 12.67 ms, avg-memory: 6615.18 KB, runs: 1000
instance004.gr: cost: 708320.00, avg_time: 26.43 ms, avg-memory: 11725.23 KB, runs: 1000
instance005.gr: cost: 290772.00, avg_time: 12.73 ms, avg-memory: 6616.24 KB, runs: 1000
instance006.gr: cost: 708409.00, avg_time: 26.43 ms, avg-memory: 11718.18 KB, runs: 1000
instance007.gr: cost: 1341112.00, avg_time: 52.66 ms, avg-memory: 20670.77 KB, runs: 950
instance008.gr: cost: 290630.00, avg_time: 12.67 ms, avg-memory: 6613.72 KB, runs: 1000
instance009.gr: cost: 560706181.00, avg_time: 7.96 ms, avg-memory: 4835.96 KB, runs: 1000
instance010.gr: cost: 244013348.00, avg_time: 6.65 ms, avg-memory: 4192.12 KB, runs: 1000
instance011.gr: cost: 708446.00, avg_time: 26.40 ms, avg-memory: 11749.48 KB, runs: 1000
instance012.gr: cost: 1341525.00, avg_time: 53.16 ms, avg-memory: 20671.71 KB, runs: 926
instance013.gr: cost: 55711.00, avg_time: 6.11 ms, avg-memory: 3426.13 KB, runs: 1000
instance014.gr: cost: 999.00, avg_time: 8.60 ms, avg-memory: 3659.35 KB, runs: 1000
instance015.gr: cost: 1049.00, avg_time: 8.62 ms, avg-memory: 3665.75 KB, runs: 1000
instance016.gr: cost: 25729858.00, avg_time: 6.25 ms, avg-memory: 3936.32 KB, runs: 1000
instance017.gr: cost: 139269.00, avg_time: 8.24 ms, avg-memory: 4835.10 KB, runs: 1000
instance018.gr: cost: 708712.00, avg_time: 28.37 ms, avg-memory: 11835.96 KB, runs: 1000
instance019.gr: cost: 1341562.00, avg_time: 55.34 ms, avg-memory: 20671.05 KB, runs: 808
instance020.gr: cost: 6002047.00, avg_time: 5.15 ms, avg-memory: 3433.22 KB, runs: 1000
instance021.gr: cost: 1330.00, avg_time: 10.48 ms, avg-memory: 3913.52 KB, runs: 1000
instance022.gr: cost: 140498.00, avg_time: 10.96 ms, avg-memory: 3914.74 KB, runs: 1000
instance023.gr: cost: 1391.00, avg_time: 10.48 ms, avg-memory: 3909.71 KB, runs: 1000
instance024.gr: cost: 6201537.00, avg_time: 4.86 ms, avg-memory: 3421.27 KB, runs: 1000
instance025.gr: cost: 511.00, avg_time: 5.04 ms, avg-memory: 3302.26 KB, runs: 1000
instance026.gr: cost: 58470.00, avg_time: 5.30 ms, avg-memory: 3300.54 KB, runs: 1000
instance027.gr: cost: 6403331.00, avg_time: 6.38 ms, avg-memory: 3937.82 KB, runs: 1000
instance028.gr: cost: 6604354.00, avg_time: 7.13 ms, avg-memory: 4231.76 KB, runs: 1000
instance029.gr: cost: 6701764.00, avg_time: 5.29 ms, avg-memory: 3557.07 KB, runs: 1000
instance030.gr: cost: 71150.00, avg_time: 14.66 ms, avg-memory: 8267.40 KB, runs: 1000
instance031.gr: cost: 1727.00, avg_time: 12.93 ms, avg-memory: 4174.25 KB, runs: 1000
instance032.gr: cost: 181894.00, avg_time: 13.83 ms, avg-memory: 4170.76 KB, runs: 1000
instance033.gr: cost: 1801.00, avg_time: 13.13 ms, avg-memory: 4170.75 KB, runs: 1000
instance034.gr: cost: 7501617.00, avg_time: 5.08 ms, avg-memory: 3423.26 KB, runs: 1000
instance035.gr: cost: 7603100.00, avg_time: 6.33 ms, avg-memory: 3938.63 KB, runs: 1000
instance036.gr: cost: 81601.00, avg_time: 6.16 ms, avg-memory: 3422.16 KB, runs: 1000
instance037.gr: cost: 7804123.00, avg_time: 7.00 ms, avg-memory: 4190.09 KB, runs: 1000
instance038.gr: cost: 7901539.00, avg_time: 5.12 ms, avg-memory: 3426.98 KB, runs: 1000
instance039.gr: cost: 40118.00, avg_time: 4.46 ms, avg-memory: 3166.77 KB, runs: 1000
instance040.gr: cost: 39820.00, avg_time: 4.53 ms, avg-memory: 3170.17 KB, runs: 1000
instance041.gr: cost: 37631.00, avg_time: 5.05 ms, avg-memory: 3171.98 KB, runs: 1000
instance042.gr: cost: 37534.00, avg_time: 5.01 ms, avg-memory: 3172.53 KB, runs: 1000
instance043.gr: cost: 8002912.00, avg_time: 5.91 ms, avg-memory: 3811.11 KB, runs: 1000
instance044.gr: cost: 36357.00, avg_time: 7.57 ms, avg-memory: 3287.01 KB, runs: 1000
instance045.gr: cost: 36352.00, avg_time: 7.60 ms, avg-memory: 3288.92 KB, runs: 1000
instance046.gr: cost: 35410.00, avg_time: 18.72 ms, avg-memory: 4301.00 KB, runs: 1000
instance047.gr: cost: 35354.00, avg_time: 18.69 ms, avg-memory: 4292.29 KB, runs: 1000
instance048.gr: cost: 291096.00, avg_time: 13.09 ms, avg-memory: 6731.29 KB, runs: 1000
instance049.gr: cost: 8305038.00, avg_time: 7.90 ms, avg-memory: 4578.03 KB, runs: 1000
instance050.gr: cost: 8404091.00, avg_time: 7.00 ms, avg-memory: 4193.68 KB, runs: 1000
instance051.gr: cost: 8501604.00, avg_time: 4.77 ms, avg-memory: 3299.34 KB, runs: 1000
instance052.gr: cost: 86002424.00, avg_time: 5.89 ms, avg-memory: 3683.71 KB, runs: 1000
instance053.gr: cost: 88001763.00, avg_time: 5.05 ms, avg-memory: 3422.77 KB, runs: 1000
instance054.gr: cost: 120336319.00, avg_time: 76.31 ms, avg-memory: 38729.32 KB, runs: 570
instance055.gr: cost: 91002469.00, avg_time: 5.81 ms, avg-memory: 3686.93 KB, runs: 1000
instance056.gr: cost: 92002633.00, avg_time: 6.37 ms, avg-memory: 3934.70 KB, runs: 1000
instance057.gr: cost: 94003537.00, avg_time: 6.61 ms, avg-memory: 3940.31 KB, runs: 1000
instance059.gr: cost: 96004235.00, avg_time: 7.11 ms, avg-memory: 4235.84 KB, runs: 1000
instance060.gr: cost: 69825728.00, avg_time: 42.81 ms, avg-memory: 22215.87 KB, runs: 815
instance061.gr: cost: 98003572.00, avg_time: 6.93 ms, avg-memory: 4169.53 KB, runs: 1000
instance062.gr: cost: 99003878.00, avg_time: 6.64 ms, avg-memory: 4065.18 KB, runs: 1000
instance063.gr: cost: 201961.00, avg_time: 16.37 ms, avg-memory: 7497.49 KB, runs: 1000
instance064.gr: cost: 88811836.00, avg_time: 62.88 ms, avg-memory: 33853.34 KB, runs: 630
instance065.gr: cost: 60792.00, avg_time: 13.53 ms, avg-memory: 7753.38 KB, runs: 1000
instance066.gr: cost: 709185.00, avg_time: 26.46 ms, avg-memory: 11840.79 KB, runs: 1000
instance067.gr: cost: 63005484.00, avg_time: 7.46 ms, avg-memory: 4576.84 KB, runs: 1000
instance068.gr: cost: 1023.00, avg_time: 6.15 ms, avg-memory: 3556.61 KB, runs: 1000
instance069.gr: cost: 117644.00, avg_time: 6.43 ms, avg-memory: 3591.01 KB, runs: 1000
instance070.gr: cost: 1158.00, avg_time: 6.19 ms, avg-memory: 3556.43 KB, runs: 1000
instance071.gr: cost: 79784.00, avg_time: 4.74 ms, avg-memory: 3298.24 KB, runs: 1000
instance072.gr: cost: 80559.00, avg_time: 4.74 ms, avg-memory: 3299.90 KB, runs: 1000
instance073.gr: cost: 75268.00, avg_time: 5.96 ms, avg-memory: 3427.00 KB, runs: 1000
instance074.gr: cost: 75189.00, avg_time: 6.00 ms, avg-memory: 3426.25 KB, runs: 1000
instance075.gr: cost: 71884.00, avg_time: 16.41 ms, avg-memory: 4168.93 KB, runs: 1000
instance076.gr: cost: 71802.00, avg_time: 16.32 ms, avg-memory: 4168.74 KB, runs: 1000
instance077.gr: cost: 70181.00, avg_time: 60.86 ms, avg-memory: 8258.11 KB, runs: 682
instance078.gr: cost: 70158.00, avg_time: 60.44 ms, avg-memory: 8259.64 KB, runs: 645
instance079.gr: cost: 1342814.00, avg_time: 52.85 ms, avg-memory: 20796.30 KB, runs: 947
instance080.gr: cost: 255251.00, avg_time: 68.63 ms, avg-memory: 8888.84 KB, runs: 625
instance081.gr: cost: 73677793.00, avg_time: 43.99 ms, avg-memory: 23240.54 KB, runs: 895
instance082.gr: cost: 122286612.00, avg_time: 75.60 ms, avg-memory: 39625.81 KB, runs: 596
instance083.gr: cost: 225722.00, avg_time: 8.01 ms, avg-memory: 4194.77 KB, runs: 1000
instance084.gr: cost: 2199.00, avg_time: 7.56 ms, avg-memory: 4193.54 KB, runs: 1000
instance085.gr: cost: 121697.00, avg_time: 7.93 ms, avg-memory: 3683.00 KB, runs: 1000
instance086.gr: cost: 1199.00, avg_time: 7.62 ms, avg-memory: 3679.02 KB, runs: 1000
instance087.gr: cost: 1218654.00, avg_time: 13.70 ms, avg-memory: 6601.15 KB, runs: 1000
instance088.gr: cost: 843322.00, avg_time: 24.52 ms, avg-memory: 10352.34 KB, runs: 1000
instance089.gr: cost: 184956.00, avg_time: 36.79 ms, avg-memory: 18879.04 KB, runs: 1000
instance090.gr: cost: 243926.00, avg_time: 10.15 ms, avg-memory: 4171.86 KB, runs: 1000
instance091.gr: cost: 2408.00, avg_time: 9.50 ms, avg-memory: 4169.08 KB, runs: 1000
instance092.gr: cost: 2047.00, avg_time: 8.37 ms, avg-memory: 4049.24 KB, runs: 1000
instance093.gr: cost: 232532.00, avg_time: 8.86 ms, avg-memory: 4170.16 KB, runs: 1000
instance094.gr: cost: 51593.00, avg_time: 5.25 ms, avg-memory: 3299.44 KB, runs: 1000
